index,HubName,HubDist
"0","385",677.876648799651
"1","385",659.492928088081
"2","385",641.387892274816
"3","385",623.585935786601
"4","385",606.113882279519
"5","385",589.001207061598
"6","385",572.280263689043
"7","385",555.986507539477
"8","385",540.158706127142
"9","385",524.839122151623
"10","385",510.07365075833
"11","385",495.9118873468
"12","558",459.223669091262
"13","558",442.652506958666
"14","558",426.639148643969
"15","558",411.248868705424
"16","558",396.554323998724
"17","558",382.63577920044
"18","558",369.581012846506
"19","558",357.484757662786
"20","558",346.447509856761
"21","558",336.573544186511
"22","558",327.968010980816
"23","558",320.733083392232
"24","558",314.963275064949
"25","558",310.740247631355
"26","558",308.127633343593
"27","558",307.166544209909
"28","558",307.872453581728
"29","558",310.233977833831
"30","558",314.213775056965
"31","177",322.253229593021
"32","177",326.716603373453
"33","177",332.666523296981
"34","177",340.024924233174
"35","177",348.702605583152
"36","177",358.603752507336
"37","177",369.629999405958
"38","177",381.683783789411
"39","177",394.670895746958
"40","177",408.502248287473
"41","177",423.094967905085
"42","177",438.372937908442
"43","388",475.093052590748
"44","561",509.586318051796
"45","561",514.714814680311
"46","561",520.798465099749
"47","561",527.804205075102
"48","561",535.695816529995
"49","561",544.434730779356
"50","561",553.98079846202
"51","561",564.29299994426
"52","561",575.330078065072
"53","561",587.051082844176
"54","561",599.415824526737
"55","561",612.385236738419
"56","561",625.921655466315
"57","561",639.989022146503
"58","561",654.553020522212
"59","561",669.581157384178
"60","561",685.042797068503
"61","561",700.90915889496
"62","561",717.153285768958
"63","88",785.451340384424
"64","88",795.822937198406
"65","88",806.723360531373
"66","88",818.131409815667
"67","88",830.026088362877
"68","88",842.386713492088
"69","88",855.19300991762
"70","88",868.425187219725
"71","76",895.59733061833
"72","76",908.092523345798
"73","76",921.000798967722
"74","76",934.30496217063
"75","76",947.988268930805
"76","44",1025.0106432942
"77","44",1022.36360276354
"78","44",1020.24929036369
"79","44",1018.67103491169
"80","44",1017.63133925512
"81","44",1017.13186065286
"82","44",1017.17339767251
"83","44",1017.7558838449
"84","44",1018.87838819305
"85","44",1020.53912262576
"86","44",1022.73545605928
"87","44",1025.46393500818
"88","44",1028.72031027276
"89","44",1032.49956924867
"90","44",1036.7959732974
"91","44",1041.60309954682
"92","44",1046.91388643943
"93","44",1052.72068231448
"94","48",1070.69810973407
"95","48",1068.90345667176
"96","48",1067.62376179809
"97","48",1066.86088516638
"98","48",1066.61593986912
"99","49",1064.34268254292
"100","49",1063.07746240629
"101","49",1062.33108882674
"102","49",1062.10465970618
"103","49",1062.39850872686
"104","49",1063.21220290656
"105","49",1064.54454577028
"106","49",1066.39358608456
"107","49",1068.75663200601
"108","49",1071.63027040625
"109","49",1075.01039105291
"110","49",1078.89221525306
"111","52",1089.57564924104
"112","52",1091.88265409008
"113","52",1094.69078797216
"114","52",1097.99619079978
"115","54",1103.56128429424
"116","54",1106.70290370972
"117","54",1110.33489966446
"118","54",1114.45245820532
"119","54",1119.05019728392
"120","54",1124.12220026544
"121","385",662.887589962309
"122","385",644.015458961456
"123","385",625.402666741257
"124","385",607.073190693433
"125","385",589.053600308446
"126","385",571.373334422748
"127","385",554.064994581691
"128","385",537.164648735822
"129","385",520.712136044421
"130","385",504.751358993958
"131","385",489.330543186759
"132","385",474.502437950455
"133","385",460.324422497321
"134","558",424.254850202539
"135","558",407.464567991941
"136","558",391.268192754001
"137","558",375.742644030256
"138","558",360.974595144403
"139","558",347.060859156119
"140","558",334.108279886754
"141","558",322.23287108549
"142","558",311.55791047457
"143","558",302.210706719011
"144","558",294.317853825302
"145","558",287.99900223521
"146","558",283.359512823656
"147","558",280.482763746465
"148","558",279.423222830407
"149","558",280.201512149693
"150","558",282.802453710033
"151","558",287.176512436058
"152","177",294.931131024497
"153","177",299.816979823951
"154","177",306.310353966633
"155","177",314.311599375972
"156","177",323.708874209297
"157","177",334.384443045259
"158","177",346.220013880577
"159","177",359.100835982446
"160","177",372.918536278447
"161","177",387.572839694198
"162","177",402.972397400541
"163","388",439.651515020925
"164","561",478.094206628053
"165","561",482.487152558299
"166","561",487.917558274095
"167","561",494.351202918589
"168","561",501.749457330666
"169","561",510.070305546255
"170","561",519.269348196274
"171","561",529.300744125468
"172","561",540.118058450749
"173","561",551.674997345688
"174","561",563.926020742363
"175","561",576.826833069302
"176","561",590.334758768521
"177","561",604.409013704136
"178","561",619.010885978892
"179","561",634.103840518091
"180","561",649.653561490306
"181","561",665.627945599807
"182","561",681.997057827644
"183","88",750.658253359427
"184","88",760.833492579657
"185","88",771.569120038257
"186","88",782.842019306087
"187","88",794.629259997301
"188","88",806.908234219619
"189","88",819.656772176656
"190","88",832.853237873373
"191","76",860.170470224274
"192","76",872.596145778491
"193","76",885.455407728344
"194","76",898.729571405109
"195","76",912.400452638922
"196","76",926.450411601109
"197","44",997.51195379935
"198","44",994.783478034643
"199","44",992.603818290785
"200","44",990.976607908393
"201","44",989.904580169814
"202","44",989.389545610727
"203","44",989.432376854209
"204","44",990.033001262146
"205","44",991.190401547902
"206","44",992.902624338244
"207","44",995.16679651694
"208","44",997.97914903277
"209","44",1001.33504771605
"210","44",1005.22903052461
"211","44",1009.65485053626
"212","44",1014.60552392299
"213","44",1020.07338208364
"214","44",1026.05012707798
"215","48",1043.07551955515
"216","48",1041.22768296354
"217","48",1039.90995705137
"218","48",1039.12436567636
"219","48",1038.87212028532
"220","49",1036.66572910081
"221","49",1035.36275699123
"222","49",1034.59407118654
"223","49",1034.36086701709
"224","49",1034.66350782403
"225","49",1035.50152214439
"226","49",1036.87360736283
